Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
3.11667,0,29.1276,0,0.26956,0,137,0,391.8
3.13333,0,29.6208,0,0.27762,0,138,0,391.4
3.15,0,29.6424,0,0.28566,0,138,0,391
3.16667,0,29.9477,0,0.294258,0,138,0,391
3.18333,0,30.253,0,0.302856,0,138,0,391
3.2,0,30.5582,0,0.311454,0,138,0,391
3.21667,0,30.8635,0,0.320052,0,138,0,391
3.23333,0,31.1688,0,0.32865,0,138,0,391
3.25,0,29.9742,0,0.336033,0,138,0,391
3.26667,0,28.7796,0,0.343417,0,138,0,391
3.28333,0,27.585,0,0.3508,0,138,0,391
3.3,0,26.3904,0,0.358183,0,138,0,391
3.31667,0,25.1958,0,0.365567,0,138,0,391
3.33333,0,24.0012,0,0.37295,0,138,0,391
3.35,0,22.865,0,0.378682,0,137.8,0,391
3.36667,0,21.7289,0,0.384414,0,137.6,0,391
3.38333,0,20.5927,0,0.390146,0,137.4,0,391
3.4,0,19.4566,0,0.395878,0,137.2,0,391
3.41667,0,18.3204,0,0.40161,0,137,0,391
3.43333,0,18.4356,0,0.40665,0,137,0,391
3.45,0,18.5778,0,0.411954,0,137.125,0,391
3.46667,0,18.72,0,0.417258,0,137.25,0,391
3.48333,0,18.8622,0,0.422561,0,137.375,0,391
3.5,0,19.0044,0,0.427865,0,137.5,0,391
3.51667,0,19.1466,0,0.433169,0,137.625,0,391
3.53333,0,19.2888,0,0.438472,0,137.75,0,391
3.55,0,19.431,0,0.443776,0,137.875,0,391
3.56667,0,19.5732,0,0.44908,0,138,0,391
3.58333,0,20.0757,0,0.455039,0,138,0,391
3.6,0,20.5781,0,0.460997,0,138,0,391
3.61667,0,21.0806,0,0.466956,0,138,0,391
3.63333,0,21.583,0,0.472914,0,138,0,391
3.65,0,22.0855,0,0.478873,0,138,0,391
3.66667,0,22.5879,0,0.484831,0,138,0,391
3.68333,0,23.0904,0,0.49079,0,138,0,391
3.7,0,23.1042,0,0.497463,0,138.167,0,391
3.71667,0,23.118,0,0.504137,0,138.333,0,391
3.73333,0,23.1318,0,0.51081,0,138.5,0,391
3.75,0,23.1456,0,0.517483,0,138.667,0,391
3.76667,0,23.1594,0,0.524157,0,138.833,0,391
3.78333,0,23.1732,0,0.53083,0,139,0,391
3.8,0,22.3356,0,0.536517,0,139.167,0,391
3.81667,0,21.498,0,0.542203,0,139.333,0,391
3.83333,0,20.6604,0,0.54789,0,139.5,0,391
3.85,0,19.8228,0,0.553577,0,139.667,0,391
3.86667,0,18.9852,0,0.559263,0,139.833,0,391
3.88333,0,18.1476,0,0.56495,0,140,0,391
3.9,0,18.2376,0,0.57082,0,140,0,391
3.91667,0,17.6424,0,0.575263,0,140.333,0,391.133
3.93333,0,17.0472,0,0.579707,0,140.667,0,391.267
3.95,0,16.452,0,0.58415,0,141,0,391.4
3.96667,0,16.4808,0,0.58892,0,140,0,391.8
3.98333,0,15.7356,0,0.5935,0,141,0,392.2
4,0,16.5888,0,0.59803,0,140,0,392.6
4.01667,0,18.27,0,0.60384,0,140,0,393
4.03333,0,18.3948,0,0.60901,0,140,0,393
4.05,0,18.5196,0,0.61418,0,140,0,393
4.06667,0,18.6444,0,0.61935,0,140,0,393
4.08333,0,19.1822,0,0.625466,0,139.8,0,393
4.1,0,19.7201,0,0.631582,0,139.6,0,393
4.11667,0,20.2579,0,0.637698,0,139.4,0,393
4.13333,0,20.7958,0,0.643814,0,139.2,0,393
4.15,0,21.3336,0,0.64993,0,139,0,393
4.16667,0,20.9988,0,0.65603,0,139,0,393
4.18333,0,21.0528,0,0.66231,0,139,0,393
4.2,0,21.1068,0,0.66859,0,139,0,393
4.21667,0,22.7676,0,0.67605,0,139,0,393
4.23333,0,24.4284,0,0.68351,0,139,0,393
4.25,0,26.0892,0,0.69097,0,139,0,393
4.26667,0,25.0812,0,0.69756,0,138.75,0,393
4.28333,0,24.0732,0,0.70415,0,138.5,0,393
4.3,0,23.0652,0,0.71074,0,138.25,0,393
4.31667,0,22.0572,0,0.71733,0,138,0,393
4.33333,0,23.3568,0,0.72432,0,138,0,393
4.35,0,22.0176,0,0.73191,0,138,0,393
4.36667,0,20.6784,0,0.7395,0,138,0,393
4.38333,0,19.3392,0,0.74709,0,138,0,393
4.4,0,18.396,0,0.75222,0,137,0,393
4.41667,0,17.838,0,0.756022,0,137,0,393
4.43333,0,17.28,0,0.759823,0,137,0,393
4.45,0,16.722,0,0.763625,0,137,0,393
4.46667,0,16.164,0,0.767427,0,137,0,393
4.48333,0,15.606,0,0.771228,0,137,0,393
4.5,0,15.048,0,0.77503,0,137,0,393
4.51667,0,14.7564,0,0.778635,0,137,0,393.2
4.53333,0,14.4648,0,0.78224,0,137,0,393.4
4.55,0,13.8744,0,0.78568,0,138,0,394
4.56667,0,12.9204,0,0.7892,0,138,0,394.4
4.58333,0,14.1624,0,0.79336,0,138,0,394.8
4.6,0,13.8276,0,0.79708,0,138,0,395.2
4.61667,0,13.5108,0,0.801,0,138.5,0,395.2
4.63333,0,13.194,0,0.80492,0,139,0,395.2
4.65,0,13.1157,0,0.808059,0,138.75,0,395.2
4.66667,0,13.0374,0,0.811198,0,138.5,0,395.2
4.68333,0,12.9591,0,0.814336,0,138.25,0,395.2
4.7,0,12.8808,0,0.817475,0,138,0,395.2
4.71667,0,12.8025,0,0.820614,0,137.75,0,395.2
4.73333,0,12.7242,0,0.823752,0,137.5,0,395.2
4.75,0,12.6459,0,0.826891,0,137.25,0,395.2
4.76667,0,12.5676,0,0.83003,0,137,0,395.2
4.78333,0,12.821,0,0.833382,0,136.4,0,395.28
4.8,0,13.0745,0,0.836734,0,135.8,0,395.36
4.81667,0,13.3279,0,0.840086,0,135.2,0,395.44
4.83333,0,13.5814,0,0.843438,0,134.6,0,395.52
4.85,0,13.8348,0,0.84679,0,134,0,395.6
4.86667,0,14.148,0,0.850885,0,133,0,395.9
4.88333,0,14.4612,0,0.85498,0,132,0,396.2
4.9,0,15.0732,0,0.85907,0,132,0,396.6
4.91667,0,15.516,0,0.86354,0,131,0,397
4.93333,0,15.372,0,0.86773,0,131,0,397.6
4.95,0,15.2676,0,0.871888,0,130.875,0,397.6
4.96667,0,15.1632,0,0.876045,0,130.75,0,397.6
4.98333,0,15.0588,0,0.880202,0,130.625,0,397.6
5,0,14.9544,0,0.88436,0,130.5,0,397.6
5.01667,0,14.85,0,0.888517,0,130.375,0,397.6
5.03333,0,14.7456,0,0.892675,0,130.25,0,397.6
5.05,0,14.6412,0,0.896832,0,130.125,0,397.6
5.06667,0,14.5368,0,0.90099,0,130,0,397.6
5.08333,0,14.2644,0,0.904528,0,129.667,0,397.644
5.1,0,13.992,0,0.908066,0,129.333,0,397.689
5.11667,0,13.7196,0,0.911603,0,129,0,397.733
5.13333,0,13.4472,0,0.915141,0,128.667,0,397.778
5.15,0,13.1748,0,0.918679,0,128.333,0,397.822
5.16667,0,12.9024,0,0.922217,0,128,0,397.867
5.18333,0,12.63,0,0.925754,0,127.667,0,397.911
5.2,0,12.3576,0,0.929292,0,127.333,0,397.956
5.21667,0,12.0852,0,0.93283,0,127,0,398
5.23333,0,11.4876,0,0.93614,0,127,0,398.4
5.25,0,10.872,0,0.93945,0,127,0,398.8
5.26667,0,11.196,0,0.94275,0,126,0,399.2
5.28333,0,10.3968,0,0.94577,0,126,0,399.6
5.3,0,10.2438,0,0.948705,0,126,0,399.6
5.31667,0,10.0908,0,0.95164,0,126,0,399.6
5.33333,0,9.9144,0,0.95482,0,126,0,399.6
5.35,0,9.738,0,0.958,0,126,0,399.6
5.36667,0,8.9928,0,0.96085,0,127,0,400
5.38333,0,8.8848,0,0.96364,0,126,0,400.4
5.4,0,8.8344,0,0.96637,0,126,0,400.8
5.41667,0,8.9496,0,0.96879,0,127,0,401.4
5.43333,0,8.8704,0,0.97135,0,126,0,401.8
5.45,0,8.4984,0,0.973727,0,126.333,0,401.8
5.46667,0,8.1264,0,0.976103,0,126.667,0,401.8
5.48333,0,7.7544,0,0.97848,0,127,0,401.8
5.5,0,7.85088,0,0.980992,0,127.6,0,401.8
5.51667,0,7.94736,0,0.983504,0,128.2,0,401.8
5.53333,0,8.04384,0,0.986016,0,128.8,0,401.8
5.55,0,8.14032,0,0.988528,0,129.4,0,401.8
5.56667,0,8.2368,0,0.99104,0,130,0,401.8
5.58333,0,8.106,0,0.993437,0,130.333,0,402.067
5.6,0,7.9752,0,0.995833,0,130.667,0,402.333
5.61667,0,7.8444,0,0.99823,0,131,0,402.6
5.63333,0,8.4492,0,1.00117,0,131,0,403
5.65,0,8.8092,0,1.00404,0,131,0,403.4
5.66667,0,7.7472,0,1.00627,0,132,0,404
5.68333,0,7.7076,0,1.00846,0,132,0,404
5.7,0,7.9968,0,1.01103,0,132.333,0,404.067
5.71667,0,8.286,0,1.0136,0,132.667,0,404.133
5.73333,0,8.5752,0,1.01617,0,133,0,404.2
5.75,0,8.8644,0,1.01874,0,133.333,0,404.267
5.76667,0,9.1536,0,1.02131,0,133.667,0,404.333
5.78333,0,9.4428,0,1.02388,0,134,0,404.4
5.8,0,7.7616,0,1.02602,0,134,0,404.4
5.81667,0,8.5716,0,1.02871,0,133,0,405.2
5.83333,0,8.1432,0,1.03119,0,134,0,405.6
5.85,0,8.1396,0,1.03364,0,133,0,406
5.86667,0,8.1747,0,1.03635,0,132.75,0,406
5.88333,0,8.2098,0,1.03906,0,132.5,0,406
5.9,0,8.2449,0,1.04178,0,132.25,0,406
5.91667,0,8.28,0,1.04449,0,132,0,406
6.05,0,8.3232,0,1.06518,0,132,0,406.4
6.06667,0,8.8956,0,1.06787,0,133,0,407
6.08333,0,9.0486,0,1.07035,0,133.5,0,407.2
6.1,0,9.2016,0,1.07283,0,134,0,407.4
6.11667,0,8.4168,0,1.07494,0,135,0,407.8
6.13333,0,8.4456,0,1.07736,0,135,0,408.4
6.15,0,8.4858,0,1.07982,0,135.333,0,408.467
6.16667,0,8.526,0,1.08227,0,135.667,0,408.533
6.18333,0,8.5662,0,1.08473,0,136,0,408.6
6.2,0,8.6064,0,1.08719,0,136.333,0,408.667
6.21667,0,8.6466,0,1.08964,0,136.667,0,408.733
6.23333,0,8.6868,0,1.0921,0,137,0,408.8
6.25,0,7.9668,0,1.0944,0,138,0,409.2
6.26667,0,9.4752,0,1.09723,0,138,0,409.6
6.28333,0,8.01,0,1.09941,0,138,0,410
6.3,0,8.9604,0,1.10208,0,138,0,410.4
6.31667,0,8.8272,0,1.10458,0,138.25,0,410.4
6.33333,0,8.694,0,1.10707,0,138.5,0,410.4
6.35,0,8.5608,0,1.10956,0,138.75,0,410.4
6.36667,0,8.4276,0,1.11206,0,139,0,410.4
6.38333,0,8.06256,0,1.11463,0,139,0,410.4
6.4,0,7.69752,0,1.11719,0,139,0,410.4
6.41667,0,7.33248,0,1.11976,0,139,0,410.4
6.43333,0,6.96744,0,1.12232,0,139,0,410.4
6.45,0,6.6024,0,1.12489,0,139,0,410.4
6.46667,0,8.3772,0,1.12757,0,140,0,411
6.48333,0,8.469,0,1.13031,0,140,0,411.4
6.5,0,8.5608,0,1.13306,0,140,0,411.8
6.51667,0,7.668,0,1.1353,0,140,0,412.4
6.53333,0,9.2772,0,1.13813,0,141,0,412.8
6.55,0,10.0836,0,1.1409,0,140,0,412.8
6.56667,0,9.86616,0,1.14393,0,140.2,0,412.88
6.58333,0,9.64872,0,1.14695,0,140.4,0,412.96
6.6,0,9.43128,0,1.14998,0,140.6,0,413.04
6.61667,0,9.21384,0,1.153,0,140.8,0,413.12
6.63333,0,8.9964,0,1.15603,0,141,0,413.2
6.65,0,8.0244,0,1.15847,0,140,0,413.2
6.66667,0,9.1692,0,1.16115,0,141,0,413.6
6.68333,0,8.0928,0,1.16338,0,140,0,414
6.7,0,8.8776,0,1.16591,0,140,0,414.4
6.71667,0,8.1396,0,1.1681,0,140,0,414.8
6.73333,0,8.4402,0,1.17034,0,140,0,414.8
6.75,0,8.7408,0,1.17259,0,140,0,414.8
6.76667,0,8.62251,0,1.17463,0,139.571,0,414.857
6.78333,0,8.50423,0,1.17666,0,139.143,0,414.914
6.8,0,8.38594,0,1.1787,0,138.714,0,414.971
6.81667,0,8.26766,0,1.18073,0,138.286,0,415.029
6.83333,0,8.14937,0,1.18277,0,137.857,0,415.086
6.85,0,8.03109,0,1.1848,0,137.429,0,415.143
6.86667,0,7.9128,0,1.18684,0,137,0,415.2
6.88333,0,7.5348,0,1.18911,0,137,0,415.6
6.9,0,7.6356,0,1.19132,0,137,0,416
6.91667,0,7.596,0,1.1937,0,136,0,416.4
6.93333,0,7.1604,0,1.19577,0,136,0,416.8
6.95,0,7.2,0,1.19786,0,135.25,0,416.8
6.96667,0,7.2396,0,1.19994,0,134.5,0,416.8
6.98333,0,7.2792,0,1.20202,0,133.75,0,416.8
7,0,7.3188,0,1.20411,0,133,0,416.8
7.01667,0,6.9246,0,1.206,0,132.5,0,416.8
7.03333,0,6.5304,0,1.2079,0,132,0,416.8
7.05,0,6.6816,0,1.20999,0,131.667,0,416.933
7.06667,0,6.8328,0,1.21207,0,131.333,0,417.067
7.08333,0,6.984,0,1.21416,0,131,0,417.2
7.1,0,7.5816,0,1.2163,0,131,0,417.6
7.11667,0,7.2864,0,1.21843,0,131,0,418.2
7.13333,0,7.1496,0,1.22038,0,131,0,418.6
7.15,0,6.4548,0,1.22203,0,130,0,419
7.23333,0,7.8552,0,1.23031,0,129,0,419
7.25,0,9.4104,0,1.23345,0,128,0,419
7.26667,0,9.9144,0,1.23698,0,128,0,419
7.28333,0,10.4184,0,1.24051,0,128,0,419
7.3,0,10.9224,0,1.24404,0,128,0,419
7.31667,0,12.1284,0,1.24764,0,127,0,419
7.33333,0,12.6619,0,1.25176,0,127.2,0,419
7.35,0,13.1954,0,1.25588,0,127.4,0,419
7.36667,0,13.729,0,1.26001,0,127.6,0,419
7.38333,0,14.2625,0,1.26413,0,127.8,0,419
7.4,0,14.796,0,1.26825,0,128,0,419
7.46667,0,15.8112,0,1.28591,0,129,0,419
7.48333,0,16.0605,0,1.29056,0,129.25,0,419
7.5,0,16.3098,0,1.29521,0,129.5,0,419
7.51667,0,16.5591,0,1.29985,0,129.75,0,419
7.53333,0,16.8084,0,1.3045,0,130,0,419
7.55,0,17.676,0,1.30961,0,130,0,419.4
7.56667,0,17.7876,0,1.3146,0,130,0,419.8
7.58333,0,18.2268,0,1.31988,0,130,0,420.2
7.6,0,18.5508,0,1.32512,0,130,0,420.8
7.61667,0,19.0584,0,1.33052,0,131,0,421.2
7.63333,0,19.0486,0,1.33586,0,131.429,0,421.2
7.65,0,19.0389,0,1.34119,0,131.857,0,421.2
7.66667,0,19.0291,0,1.34653,0,132.286,0,421.2
7.68333,0,19.0193,0,1.35186,0,132.714,0,421.2
7.7,0,19.0095,0,1.3572,0,133.143,0,421.2
7.71667,0,18.9998,0,1.36253,0,133.571,0,421.2
7.73333,0,18.99,0,1.36787,0,134,0,421.2
7.75,0,19.0056,0,1.37321,0,134.333,0,421.2
7.76667,0,19.0212,0,1.37855,0,134.667,0,421.2
7.78333,0,19.0368,0,1.38389,0,135,0,421.2
7.8,0,18.9554,0,1.38908,0,135.1,0,421.2
7.81667,0,18.8741,0,1.39428,0,135.2,0,421.2
7.83333,0,18.7927,0,1.39947,0,135.3,0,421.2
7.85,0,18.7114,0,1.40466,0,135.4,0,421.2
7.86667,0,18.63,0,1.40986,0,135.5,0,421.2
7.88333,0,18.5486,0,1.41505,0,135.6,0,421.2
7.9,0,18.4673,0,1.42024,0,135.7,0,421.2
7.91667,0,18.3859,0,1.42543,0,135.8,0,421.2
7.93333,0,18.3046,0,1.43063,0,135.9,0,421.2
7.95,0,18.2232,0,1.43582,0,136,0,421.2
7.96667,0,17.779,0,1.44054,0,135.8,0,421.28
7.98333,0,17.3347,0,1.44526,0,135.6,0,421.36
8,0,16.8905,0,1.44997,0,135.4,0,421.44
8.01667,0,16.4462,0,1.45469,0,135.2,0,421.52
8.03333,0,16.002,0,1.45941,0,135,0,421.6
8.05,0,16.0452,0,1.46396,0,135,0,422
8.06667,0,16.0596,0,1.46833,0,135,0,422.6
8.08333,0,15.6852,0,1.4725,0,134,0,423
8.1,0,14.0832,0,1.47624,0,134,0,423.4
8.11667,0,13.7076,0,1.47935,0,133.667,0,423.4
8.13333,0,13.332,0,1.48247,0,133.333,0,423.4
8.15,0,12.9564,0,1.48558,0,133,0,423.4
8.16667,0,12.5808,0,1.4887,0,132.667,0,423.4
8.18333,0,12.2052,0,1.49182,0,132.333,0,423.4
8.2,0,11.8296,0,1.49493,0,132,0,423.4
8.21667,0,11.4318,0,1.49791,0,131.75,0,423.5
8.23333,0,11.034,0,1.50088,0,131.5,0,423.6
8.25,0,10.6362,0,1.50385,0,131.25,0,423.7
8.26667,0,10.2384,0,1.50683,0,131,0,423.8
8.28333,0,9.6912,0,1.50953,0,131,0,424.4
8.3,0,8.694,0,1.51195,0,131,0,424.8
8.31667,0,9.3852,0,1.5147,0,131,0,425.2
8.33333,0,8.5176,0,1.51697,0,130,0,425.6
8.35,0,8.5728,0,1.51987,0,130.167,0,425.6
8.36667,0,8.628,0,1.52276,0,130.333,0,425.6
8.38333,0,8.6832,0,1.52565,0,130.5,0,425.6
8.4,0,8.7384,0,1.52855,0,130.667,0,425.6
8.41667,0,8.7936,0,1.53144,0,130.833,0,425.6
8.43333,0,8.8488,0,1.53434,0,131,0,425.6
8.45,0,8.8992,0,1.53763,0,132,0,426
8.46667,0,10.0692,0,1.5412,0,132,0,426.4
8.48333,0,9.9792,0,1.54429,0,132,0,426.8
8.53333,0,0,0,1.54429,0,134,0,427.2
8.55,0,9.09,0,1.55569,0,134,0,427.6
8.61667,0,8.9964,0,1.56568,0,135,0,427.6
8.63333,0,9.5952,0,1.5689,0,135,0,427.733
8.65,0,10.194,0,1.57211,0,135,0,427.867
8.66667,0,10.7928,0,1.57533,0,135,0,428
8.68333,0,10.728,0,1.57857,0,135,0,428.4
8.7,0,10.7064,0,1.58169,0,135,0,428.8
8.71667,0,9.7164,0,1.58431,0,135,0,429.2
8.73333,0,10.2348,0,1.5873,0,135,0,429.6
8.75,0,10.1928,0,1.59038,0,135.5,0,429.6
8.76667,0,10.1508,0,1.59346,0,136,0,429.6
8.78333,0,10.1088,0,1.59653,0,136.5,0,429.6
8.8,0,10.0668,0,1.59961,0,137,0,429.6
8.81667,0,10.0248,0,1.60269,0,137.5,0,429.6
8.83333,0,9.9828,0,1.60577,0,138,0,429.6
8.85,0,10.0152,0,1.60874,0,138,0,430
8.86667,0,10.8252,0,1.6119,0,139,0,430
8.88333,0,11.3256,0,1.6153,0,139,0,430.4
8.9,0,11.3004,0,1.61857,0,140,0,430.8
8.91667,0,10.8756,0,1.6216,0,140,0,431.2
8.93333,0,10.8432,0,1.62446,0,140,0,431.8
8.95,0,10.7388,0,1.62692,0,140.5,0,431.8
8.96667,0,10.6344,0,1.62938,0,141,0,431.8
8.98333,0,10.53,0,1.63183,0,141.5,0,431.8
9,0,10.4256,0,1.63429,0,142,0,431.8
9.01667,0,10.512,0,1.63744,0,142.429,0,431.8
9.03333,0,10.5984,0,1.64059,0,142.857,0,431.8
9.05,0,10.6848,0,1.64374,0,143.286,0,431.8
9.06667,0,10.7712,0,1.64688,0,143.714,0,431.8
9.08333,0,10.8576,0,1.65003,0,144.143,0,431.8
9.1,0,10.944,0,1.65318,0,144.571,0,431.8
9.11667,0,11.0304,0,1.65633,0,145,0,431.8
9.13333,0,11.0196,0,1.65972,0,145,0,431.8
9.15,0,10.512,0,1.66278,0,145,0,432.2
9.16667,0,11.0232,0,1.66601,0,145,0,432.6
9.18333,0,11.1132,0,1.66932,0,146,0,433
9.2,0,10.3284,0,1.67222,0,146,0,433.4
9.21667,0,10.6236,0,1.67527,0,146,0,433.8
9.23333,0,10.6932,0,1.67847,0,146,0,433.8
9.25,0,10.7628,0,1.68168,0,146,0,433.8
9.26667,0,10.8324,0,1.68488,0,146,0,433.8
9.28333,0,10.7287,0,1.68798,0,145.4,0,433.8
9.3,0,10.625,0,1.69108,0,144.8,0,433.8
9.31667,0,10.5214,0,1.69418,0,144.2,0,433.8
9.33333,0,10.4177,0,1.69728,0,143.6,0,433.8
9.35,0,10.314,0,1.70038,0,143,0,433.8
9.36667,0,10.4904,0,1.70339,0,142.333,0,433.8
9.38333,0,10.6668,0,1.70641,0,141.667,0,433.8
9.4,0,10.8432,0,1.70942,0,141,0,433.8
9.41667,0,11.1852,0,1.71251,0,140,0,434.2
9.43333,0,10.8936,0,1.7157,0,140,0,434.6
9.45,0,10.0332,0,1.71848,0,140,0,435
9.46667,0,11.2968,0,1.72205,0,139,0,435.4
9.48333,0,11.2932,0,1.7259,0,139,0,435.8
9.5,0,11.0754,0,1.72941,0,138.5,0,435.8
9.51667,0,10.8576,0,1.73293,0,138,0,435.8
9.53333,0,10.7253,0,1.7358,0,137.25,0,435.8
9.55,0,10.593,0,1.73867,0,136.5,0,435.8
9.56667,0,10.4607,0,1.74154,0,135.75,0,435.8
9.58333,0,10.3284,0,1.74441,0,135,0,435.8
9.6,0,10.2406,0,1.74757,0,134.6,0,435.8
9.61667,0,10.1527,0,1.75073,0,134.2,0,435.8
9.63333,0,10.0649,0,1.75389,0,133.8,0,435.8
9.65,0,9.97704,0,1.75705,0,133.4,0,435.8
9.66667,0,9.8892,0,1.76021,0,133,0,435.8
9.68333,0,10.602,0,1.76396,0,132.8,0,435.88
9.7,0,11.3148,0,1.76771,0,132.6,0,435.96
9.71667,0,12.0276,0,1.77145,0,132.4,0,436.04
9.73333,0,12.7404,0,1.7752,0,132.2,0,436.12
9.75,0,13.4532,0,1.77895,0,132,0,436.2
9.76667,0,14.3208,0,1.78349,0,131,0,436.8
9.78333,0,14.6484,0,1.78757,0,131,0,437.2
9.8,0,14.7816,0,1.79188,0,131,0,437.6
9.81667,0,14.8968,0,1.79622,0,130,0,438
9.91667,0,15.984,0,1.82317,0,128,0,438
9.93333,0,15.4029,0,1.82699,0,127.714,0,438
9.95,0,14.8217,0,1.8308,0,127.429,0,438
9.96667,0,14.2406,0,1.83462,0,127.143,0,438
9.98333,0,13.6594,0,1.83844,0,126.857,0,438
10,0,13.0783,0,1.84226,0,126.571,0,438
10.0167,0,12.4971,0,1.84607,0,126.286,0,438
10.0333,0,11.916,0,1.84989,0,126,0,438
10.05,0,11.8524,0,1.85344,0,126.333,0,438
10.0667,0,11.7888,0,1.857,0,126.667,0,438
10.0833,0,11.7252,0,1.86055,0,127,0,438
10.1,0,11.6616,0,1.8641,0,127.333,0,438
10.1167,0,11.598,0,1.86766,0,127.667,0,438
10.1333,0,11.5344,0,1.87121,0,128,0,438
10.15,0,13.1832,0,1.87562,0,128,0,438.6
10.1667,0,12.3228,0,1.87929,0,128,0,439
10.1833,0,13.0824,0,1.88298,0,128,0,439.4
10.2,0,13.014,0,1.88689,0,129,0,439.8
10.2167,0,12.8844,0,1.89099,0,129,0,440.2
10.2333,0,11.0916,0,1.89412,0,130,0,440.2
10.25,0,11.9289,0,1.89847,0,130.286,0,440.2
10.2667,0,12.7661,0,1.90282,0,130.571,0,440.2
10.2833,0,13.6034,0,1.90717,0,130.857,0,440.2
10.3,0,14.4406,0,1.91153,0,131.143,0,440.2
10.3167,0,15.2779,0,1.91588,0,131.429,0,440.2
10.3333,0,16.1151,0,1.92023,0,131.714,0,440.2
10.35,0,16.9524,0,1.92458,0,132,0,440.2
10.3667,0,17.6191,0,1.93026,0,132,0,440.2
10.3833,0,18.2858,0,1.93594,0,132,0,440.2
10.4,0,18.9526,0,1.94162,0,132,0,440.2
10.4167,0,19.6193,0,1.9473,0,132,0,440.2
10.4333,0,20.286,0,1.95298,0,132,0,440.2
10.45,0,19.7604,0,1.95865,0,132,0,440.2
10.4667,0,19.2348,0,1.96432,0,132,0,440.2
10.4833,0,19.0428,0,1.97012,0,132,0,440.2
10.5,0,18.8508,0,1.97592,0,132,0,440.2
10.5167,0,18.6588,0,1.98172,0,132,0,440.2
10.5333,0,18.4668,0,1.98752,0,132,0,440.2
10.55,0,18.2748,0,1.99332,0,132,0,440.2
10.5667,0,18.0828,0,1.99912,0,132,0,440.2
